TemperaturaMax,TemperaturaProm,TemperaturaMin,HumedadMax,HumedadProm,HumedadMin,VientoMaxKMXH,VientoPromKMXH,PrecipitacionMM,Eventos
22.77777778,17.22222222,11.11111111,83,66,49,9.656064,1.609344,0, 
15,8.333333333,1.666666667,59,40,20,11.265408,3.218688,0, 
18.33333333,16.11111111,13.33333333,57,47,37,11.265408,6.437376,0, 
21.66666667,15.55555556,8.888888889,80,53,26,11.265408,3.218688,0, 
28.88888889,20,11.11111111,83,53,23,11.265408,1.609344,0, 
13.33333333,7.222222222,1.111111111,82,59,35,11.265408,1.609344,0, 
29.44444444,22.77777778,15.55555556,84,64,44,11.265408,3.218688,0, 
33.88888889,27.22222222,20.55555556,84,64,44,11.265408,3.218688,0, 
20.55555556,13.88888889,6.666666667,92,64,35,11.265408,1.609344,0, 
36.11111111,30,23.88888889,94,66,38,11.265408,4.828032,0, 
35.55555556,29.44444444,23.88888889,90,67,46,11.265408,1.609344,0, 
21.11111111,16.66666667,11.66666667,83,69,55,11.265408,3.218688,0, 
26.11111111,18.33333333,10.55555556,87,70,52,11.265408,4.828032,0, 
15,11.66666667,7.777777778,93,72,51,11.265408,3.218688,0, 
24.44444444,18.33333333,12.22222222,93,75,57,11.265408,3.218688,0, 
12.77777778,10,7.222222222,100,86,72,11.265408,3.218688,0, 
25,21.66666667,17.77777778,100,87,73,11.265408,3.218688,0, 
15,12.22222222,8.888888889,100,88,75,11.265408,1.609344,0, 
30.55555556,22.22222222,13.33333333,57,40,22,12.874752,4.828032,0, 
7.222222222,3.333333333,-1.111111111,58,44,30,12.874752,4.828032,0, 
32.22222222,25,17.22222222,63,44,24,12.874752,4.828032,0, 
30.55555556,22.77777778,15,67,45,23,12.874752,3.218688,0, 
28.88888889,21.66666667,14.44444444,73,49,24,12.874752,6.437376,0, 
15,8.333333333,1.111111111,75,49,23,12.874752,4.828032,0, 
31.66666667,23.33333333,15,72,51,29,12.874752,6.437376,0, 
14.44444444,7.222222222,0,76,52,27,12.874752,4.828032,0, 
26.11111111,17.77777778,9.444444444,80,53,25,12.874752,4.828032,0, 
21.11111111,8.888888889,-3.333333333,85,53,20,12.874752,1.609344,0, 
28.33333333,22.22222222,15.55555556,73,54,34,12.874752,3.218688,0, 
11.11111111,5,-1.666666667,75,54,32,12.874752,6.437376,0, 
12.77777778,7.777777778,2.222222222,76,54,32,12.874752,1.609344,0, 
13.88888889,5.555555556,-3.333333333,81,54,27,12.874752,3.218688,0, 
15,8.333333333,1.111111111,82,56,30,12.874752,3.218688,0, 
29.44444444,24.44444444,19.44444444,74,57,40,12.874752,4.828032,0, 
23.33333333,16.11111111,8.333333333,86,59,31,12.874752,4.828032,0, 
26.11111111,17.22222222,7.777777778,86,59,32,12.874752,1.609344,0, 
35,28.88888889,22.22222222,87,60,33,12.874752,4.828032,0, 
30,22.77777778,15,87,60,32,12.874752,3.218688,0, 
13.88888889,6.666666667,-0.555555556,85,61,36,12.874752,4.828032,0, 
17.22222222,11.11111111,4.444444444,86,61,36,12.874752,1.609344,0, 
28.88888889,21.66666667,14.44444444,93,61,28,12.874752,4.828032,0, 
24.44444444,16.66666667,8.333333333,93,61,29,12.874752,3.218688,0, 
31.66666667,25,18.33333333,93,61,29,12.874752,1.609344,0, 
31.11111111,26.66666667,22.22222222,79,62,45,12.874752,3.218688,0, 
31.11111111,23.88888889,16.66666667,84,62,39,12.874752,3.218688,0, 
36.66666667,30,22.77777778,87,62,36,12.874752,4.828032,0, 
33.33333333,27.22222222,20.55555556,84,64,44,12.874752,3.218688,0, 
17.77777778,10.55555556,3.333333333,92,64,36,12.874752,4.828032,0, 
35.55555556,30,23.88888889,87,65,42,12.874752,3.218688,0, 
29.44444444,22.22222222,14.44444444,93,65,37,12.874752,3.218688,0, 
24.44444444,16.66666667,8.333333333,93,66,38,12.874752,1.609344,0, 
3.333333333,1.111111111,-1.666666667,78,68,58,12.874752,4.828032,0, 
31.11111111,25.55555556,20,90,68,45,12.874752,3.218688,0, 
31.66666667,25.55555556,19.44444444,93,68,43,12.874752,3.218688,0, 
35.55555556,30,24.44444444,94,68,42,12.874752,3.218688,0, 
15,8.888888889,2.222222222,92,70,47,12.874752,3.218688,0, 
31.11111111,24.44444444,17.77777778,93,70,46,12.874752,3.218688,0, 
24.44444444,16.11111111,7.777777778,93,70,46,12.874752,1.609344,0, 
31.11111111,25.55555556,20,93,70,46,12.874752,3.218688,0, 
36.66666667,30.55555556,23.88888889,94,70,45,12.874752,3.218688,0, 
20.55555556,13.33333333,6.111111111,100,70,39,12.874752,1.609344,0, 
21.66666667,17.77777778,13.33333333,90,72,53,12.874752,4.828032,0, 
27.77777778,22.77777778,17.22222222,100,73,45,12.874752,3.218688,0, 
27.77777778,23.33333333,18.33333333,93,74,54,12.874752,3.218688,0, 
28.88888889,23.88888889,18.33333333,93,74,55,12.874752,3.218688,0, 
28.33333333,22.77777778,16.66666667,93,74,55,12.874752,4.828032,0, 
30,25.55555556,21.11111111,90,76,61,12.874752,3.218688,0, 
31.11111111,26.11111111,20.55555556,97,76,55,12.874752,3.218688,0, 
24.44444444,18.33333333,12.22222222,93,79,64,12.874752,3.218688,0, 
27.22222222,22.22222222,16.66666667,100,79,58,12.874752,3.218688,0, 
12.22222222,11.11111111,9.444444444,86,82,72,12.874752,4.828032,0, 
22.77777778,21.66666667,20,93,89,84,12.874752,6.437376,0, 
28.33333333,21.11111111,13.33333333,51,33,14,14.484096,4.828032,0, 
28.88888889,21.66666667,13.88888889,51,33,14,14.484096,6.437376,0, 
20,11.11111111,2.777777778,68,35,21,14.484096,6.437376,0, 
35.55555556,25.55555556,15.55555556,60,36,12,14.484096,4.828032,0, 
22.22222222,15,7.222222222,64,39,14,14.484096,4.828032,0, 
29.44444444,24.44444444,19.44444444,57,45,32,14.484096,3.218688,0, 
31.11111111,23.88888889,16.66666667,67,46,25,14.484096,6.437376,0, 
31.11111111,22.22222222,13.33333333,72,46,20,14.484096,3.218688,0, 
28.33333333,20,11.11111111,77,49,20,14.484096,4.828032,0, 
25,18.33333333,11.66666667,71,50,28,14.484096,4.828032,0, 
36.66666667,28.88888889,21.11111111,73,50,27,14.484096,6.437376,0, 
21.66666667,12.22222222,2.222222222,76,50,23,14.484096,3.218688,0, 
26.66666667,21.11111111,15,72,51,29,14.484096,6.437376,0, 
26.11111111,17.77777778,9.444444444,77,52,27,14.484096,4.828032,0, 
19.44444444,11.66666667,3.333333333,85,53,20,14.484096,4.828032,0, 
20,14.44444444,8.333333333,71,54,37,14.484096,8.04672,0, 
23.33333333,13.33333333,3.333333333,82,54,25,14.484096,4.828032,0, 
35,28.33333333,21.66666667,79,55,31,14.484096,4.828032,0, 
35,28.33333333,21.11111111,84,55,26,14.484096,4.828032,0, 
29.44444444,19.44444444,8.888888889,86,55,23,14.484096,4.828032,0, 
31.11111111,21.66666667,11.66666667,83,57,30,14.484096,1.609344,0, 
26.66666667,17.77777778,8.333333333,86,57,27,14.484096,3.218688,0, 
14.44444444,8.888888889,2.777777778,79,58,36,14.484096,6.437376,0, 
30,21.66666667,12.77777778,86,58,30,14.484096,4.828032,0, 
38.33333333,31.66666667,24.44444444,87,58,29,14.484096,3.218688,0, 
33.88888889,28.33333333,22.77777778,79,60,41,14.484096,6.437376,0, 
34.44444444,27.22222222,20,84,60,36,14.484096,4.828032,0, 
25.55555556,17.22222222,8.888888889,86,60,33,14.484096,4.828032,0, 
35,27.77777778,20.55555556,90,60,30,14.484096,4.828032,0, 
35.55555556,29.44444444,23.33333333,94,60,26,14.484096,4.828032,0, 
28.33333333,20.55555556,12.77777778,87,61,34,14.484096,4.828032,0, 
17.22222222,8.888888889,0,92,61,30,14.484096,3.218688,0, 
37.22222222,30.55555556,23.33333333,93,62,31,14.484096,4.828032,0, 
28.88888889,22.22222222,15.55555556,90,64,37,14.484096,3.218688,0, 
22.22222222,14.44444444,6.111111111,93,64,35,14.484096,3.218688,0, 
35,29.44444444,23.88888889,87,65,43,14.484096,6.437376,0, 
35.55555556,30,23.88888889,87,66,45,14.484096,6.437376,0, 
17.22222222,10,2.777777778,92,66,39,14.484096,3.218688,0, 
18.33333333,10.55555556,2.777777778,92,66,40,14.484096,3.218688,0, 
31.66666667,25.55555556,18.88888889,93,66,38,14.484096,3.218688,0, 
35.55555556,28.88888889,21.66666667,93,66,39,14.484096,3.218688,0, 
30,24.44444444,18.88888889,90,67,44,14.484096,3.218688,0, 
30,25,19.44444444,90,67,44,14.484096,3.218688,0, 
35.55555556,29.44444444,23.33333333,91,67,43,14.484096,6.437376,0, 
33.88888889,27.77777778,21.66666667,93,67,41,14.484096,4.828032,0, 
31.11111111,24.44444444,17.77777778,93,68,43,14.484096,4.828032,0, 
19.44444444,14.44444444,9.444444444,86,69,52,14.484096,4.828032,0, 
32.77777778,27.22222222,21.11111111,90,69,47,14.484096,6.437376,0, 
30,23.33333333,16.11111111,90,69,48,14.484096,8.04672,0, 
35,29.44444444,23.88888889,94,69,44,14.484096,3.218688,0, 
32.22222222,25.55555556,18.33333333,93,70,47,14.484096,3.218688,0, 
32.22222222,26.11111111,19.44444444,93,70,46,14.484096,3.218688,0, 
26.66666667,23.33333333,19.44444444,87,71,54,14.484096,4.828032,0, 
25,19.44444444,13.88888889,93,72,50,14.484096,6.437376,0, 
32.22222222,26.66666667,21.11111111,97,72,46,14.484096,4.828032,0, 
21.11111111,16.66666667,12.22222222,87,73,58,14.484096,6.437376,0, 
33.33333333,28.88888889,23.88888889,87,73,59,14.484096,4.828032,0, 
26.66666667,18.88888889,11.11111111,100,73,45,14.484096,4.828032,0, 
