TemperaturaMaxC,TemperaturaPromC,TemperaturaMinC,HumedadMax,HumedadProm,HumedadMin,VientoMaxKMXH,VientoPromKMXH,PrecipitacionMM,Eventos
8,6,3,100,75,36,14,8,7.11,9
23,16,9,100,73,40,52,11,21.08,9
32.77777778,25.55555556,18.33333333,100,79,57,20.921472,8.04672,0.508,8
21.11111111,11.11111111,1.111111111,100,95,89,33.796224,9.656064,3.81,8
33.88888889,28.88888889,23.33333333,94,72,49,35.405568,6.437376,6.096,8
31.66666667,26.66666667,21.66666667,94,77,59,25.749504,8.04672,12.446,8
28.33333333,25.55555556,22.22222222,100,90,79,27.358848,4.828032,12.446,8
25,18.88888889,12.22222222,100,82,64,45.061632,6.437376,14.478,8
34.44444444,28.88888889,22.77777778,100,76,52,22.530816,6.437376,19.05,8
31.11111111,26.11111111,21.11111111,100,83,65,20.921472,6.437376,19.304,8
35.55555556,28.88888889,22.22222222,100,71,42,25.749504,3.218688,20.066,8
30,24.44444444,18.88888889,94,73,51,20.921472,6.437376,23.368,8
30,26.11111111,22.22222222,100,85,70,27.358848,6.437376,23.622,8
37.22222222,30,22.77777778,91,65,38,45.061632,8.04672,24.892,8
33.33333333,28.33333333,23.33333333,100,78,55,25.749504,4.828032,26.924,8
26.66666667,23.33333333,20,93,84,74,25.749504,8.04672,27.178,8
28.88888889,25.55555556,21.66666667,94,87,79,20.921472,1.609344,27.686,8
21.11111111,19.44444444,17.77777778,100,97,93,22.530816,6.437376,28.448,8
30,26.11111111,22.22222222,100,87,74,20.921472,9.656064,34.036,8
28.33333333,25.55555556,22.77777778,94,84,74,24.14016,11.265408,34.036,8
25.55555556,21.66666667,17.77777778,97,90,82,25.749504,9.656064,34.036,8
22.77777778,14.44444444,6.111111111,90,65,39,35.405568,16.09344,34.036,8
32.22222222,25.55555556,18.88888889,100,72,44,40.2336,4.828032,35.306,8
30.55555556,25,18.88888889,100,83,65,28.968192,11.265408,35.814,8
15,12.22222222,8.888888889,100,86,72,22.530816,9.656064,39.878,8
22.77777778,20,17.22222222,93,86,79,35.405568,4.828032,44.45,8
28.33333333,25,21.66666667,100,90,79,16.09344,4.828032,45.466,8
27.77777778,22.22222222,16.66666667,94,87,79,28.968192,11.265408,62.23,8
31.66666667,27.22222222,22.22222222,100,83,65,37.014912,8.04672,67.564,8
19.44444444,17.22222222,14.44444444,100,97,93,32.18688,11.265408,84.582,8
31.66666667,27.77777778,23.33333333,94,77,59,20.921472,8.04672,89.662,8
32.22222222,27.22222222,22.22222222,100,78,56,40.2336,3.218688,92.964,8
28.33333333,23.88888889,18.88888889,100,77,54,32.18688,11.265408,97.536,8
23.88888889,21.66666667,19.44444444,100,90,79,46.670976,12.874752,125.222,8
27.77777778,23.33333333,18.88888889,100,87,74,25.749504,8.04672,132.08,8
17,13,9,76,59,31,26,13,0.25,7
38.88888889,31.66666667,24.44444444,91,60,29,20.921472,4.828032,0.254,7
36.11111111,30.55555556,25,94,72,49,24.14016,8.04672,0.254,7
35,30,25,97,79,60,27.358848,9.656064,0.254,7
33.88888889,28.88888889,23.88888889,94,73,52,20.921472,4.828032,0.254,7
33.33333333,28.88888889,24.44444444,94,72,49,20.921472,6.437376,0.254,7
32.77777778,28.33333333,23.33333333,94,75,56,22.530816,1.609344,0.254,7
28.88888889,23.33333333,17.77777778,93,72,51,22.530816,8.04672,0.254,7
27.22222222,23.33333333,19.44444444,93,78,62,27.358848,6.437376,0.254,7
25,20.55555556,16.11111111,93,86,78,20.921472,3.218688,0.254,7
33.33333333,26.11111111,18.88888889,82,64,45,28.968192,14.484096,0.254,7
37.22222222,30.55555556,23.88888889,88,61,33,24.14016,4.828032,0.508,7
34.44444444,28.88888889,23.33333333,94,70,46,28.968192,4.828032,0.508,7
31.11111111,28.33333333,25,94,81,68,16.09344,8.04672,0.508,7
29.44444444,26.11111111,22.22222222,93,79,65,27.358848,14.484096,0.508,7
25,20,14.44444444,84,63,41,25.749504,8.04672,0.508,7
24.44444444,20.55555556,16.66666667,94,84,73,24.14016,9.656064,0.508,7
37,28,20,46,30,11,29,8,0.51,7
33,26,18,77,33,11,29,11,0.51,7
32,25,18,64,35,13,29,8,0.51,7
32,24,17,83,55,26,37,13,0.51,7
28,21,14,68,35,10,27,11,0.51,7
27,22,17,88,64,26,39,11,0.51,7
19,14,11,100,49,24,19,8,0.51,7
17,14,11,82,56,35,48,16,0.51,7
15,11,7,87,67,36,48,26,0.51,7
15,11,6,93,62,31,24,13,0.76,7
33.33333333,28.88888889,24.44444444,91,72,52,22.530816,11.265408,0.762,7
39.44444444,32.22222222,25,85,58,31,20.921472,6.437376,1.016,7
36.11111111,30.55555556,25,91,67,42,22.530816,9.656064,1.016,7
24.44444444,21.66666667,18.88888889,93,86,78,19.312128,9.656064,1.016,7
33.88888889,27.77777778,21.11111111,100,61,21,19.312128,8.04672,1.016,7
33,24,16,94,53,11,16,6,1.02,7
22,15,8,100,65,19,29,10,1.02,7
21,17,12,100,68,32,21,11,1.02,7
38.88888889,31.66666667,24.44444444,91,62,33,20.921472,4.828032,1.27,7
29.44444444,26.11111111,22.22222222,100,83,65,19.312128,9.656064,1.27,7
25.55555556,18.33333333,11.11111111,63,43,22,28.968192,9.656064,1.27,7
33.33333333,28.33333333,22.77777778,93,71,49,24.14016,4.828032,1.524,7
35.55555556,28.88888889,22.22222222,93,62,30,32.18688,4.828032,1.778,7
35.55555556,30.55555556,25,88,64,39,24.14016,8.04672,1.778,7
30,22.22222222,14.44444444,100,73,45,33.796224,8.04672,1.778,7
26.11111111,20,13.33333333,100,85,69,27.358848,8.04672,1.778,7
33,26,18,88,36,14,27,8,2.03,7
32,25,18,100,51,18,32,14,2.03,7
26,19,13,82,54,20,21,14,2.03,7
24,21,17,100,74,36,27,10,2.03,7
33.88888889,28.88888889,23.88888889,100,76,52,14.484096,3.218688,2.032,7
32.77777778,27.77777778,22.77777778,94,73,52,20.921472,3.218688,2.032,7
30,25.55555556,20.55555556,93,77,61,28.968192,12.874752,2.032,7
8.333333333,2.222222222,-4.444444444,75,56,37,28.968192,16.09344,2.032,7
30.55555556,24.44444444,17.77777778,100,67,34,20.921472,6.437376,2.286,7
27.22222222,21.66666667,16.11111111,90,76,62,32.18688,12.874752,2.286,7
24.44444444,20.55555556,16.11111111,87,63,38,32.18688,16.09344,2.286,7
23.33333333,18.33333333,13.33333333,93,70,47,22.530816,8.04672,2.286,7
35.55555556,30.55555556,25,94,73,52,20.921472,4.828032,2.54,7
11.66666667,10.55555556,8.888888889,96,75,54,24.14016,6.437376,2.54,7
28.88888889,24.44444444,20,93,78,62,27.358848,6.437376,2.794,7
24,19,14,82,67,35,35,11,3.05,7
13,9,6,100,81,44,24,14,3.05,7
11.66666667,10,7.777777778,100,86,71,14.484096,4.828032,3.302,7
